improved,iteration,mean_fit_time,mean_score_time,mean_test_score,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,params,rank_test_score,split0_test_score,split1_test_score,std_fit_time,std_score_time,std_test_score
True,1,0.10682129859924316,0.0,0.9625531288525712,64,"(4, 1)",0.1,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,0.9528357588077946,0.9722704988973477,0.028688669204711914,0.0,0.009717370044776574
False,2,0.12937307357788086,0.0,0.9420371016990503,64,"(4, 2)",0.1,"{'batch_size': 64, 'hidden_layer_sizes': (4, 2), 'learning_rate_init': 0.1}",1,0.9264951181760398,0.9575790852220606,0.011255741119384766,0.0,0.015541983523010396
False,3,0.12970328330993652,0.0,0.9144755860022884,64,"(5, 1)",0.1,"{'batch_size': 64, 'hidden_layer_sizes': (5, 1), 'learning_rate_init': 0.1}",1,0.9406848554943545,0.8882663165102219,0.010932207107543945,0.0,0.02620926949206631
False,4,0.1760646104812622,0.0,0.7902680625900446,64,"(4, 1)",0.06897336073024701,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.06897336073024701}",1,0.626990101686135,0.9535460234939541,0.035439372062683105,0.0,0.16327796090390956
False,5,0.1611398458480835,0.0,0.9190623417722688,43,"(4, 1)",0.1,"{'batch_size': 43, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,0.9498489763109841,0.8882757072335535,0.020522236824035645,0.0,0.030786634538715274
False,6,0.07031846046447754,0.0,-0.0032826834756719547,28,"(4, 1)",0.1,"{'batch_size': 28, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,-0.002666975748043754,-0.003898391203300155,0.007812023162841797,0.0,0.0006157077276282006
False,7,0.05137670040130615,0.0,0.44423757489465177,116,"(4, 1)",0.1,"{'batch_size': 116, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,0.8884783964033276,-3.2466140240661186e-06,0.020130276679992676,0.0,0.44424082150867583
False,8,0.3493767976760864,0.0,0.4159974574220587,9,"(4, 1)",0.1,"{'batch_size': 9, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,0.8927126978716013,-0.06071778302748388,0.08372366428375244,0.0,0.4767152404495426
False,9,0.08594512939453125,0.007813692092895508,0.47170167957373815,64,"(4, 1, 1)",0.1,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1, 1), 'learning_rate_init': 0.1}",1,-0.0009076600908421995,0.9443110192383185,0.023441076278686523,0.007813692092895508,0.47260933966458035
False,10,0.05513036251068115,0.007803559303283691,0.9468344064335743,311,"(4, 1)",0.1,"{'batch_size': 311, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,0.9616953396911562,0.9319734731759926,0.008250832557678223,0.007803559303283691,0.014860933257581812
False,11,0.06726610660552979,0.0,0.45296616839217496,64,"(4, 1, 1)",0.1,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1, 1), 'learning_rate_init': 0.1}",1,0.9078593840516598,-0.001927047267309856,0.0108870267868042,0.0,0.4548932156594848
False,12,0.1143043041229248,0.0,0.4594332860312262,45,"(4, 1)",0.1,"{'batch_size': 45, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,0.9247650761283582,-0.005898504065905863,0.010671615600585938,0.0,0.46533179009713205
False,13,0.07031798362731934,0.0,0.4853438052656272,64,"(9, 1)",0.1,"{'batch_size': 64, 'hidden_layer_sizes': (9, 1), 'learning_rate_init': 0.1}",1,-0.0008208175075297142,0.9715084280387841,0.03906822204589844,0.0,0.4861646227731569
False,14,0.06885337829589844,0.0,0.4540608460187801,64,"(4, 1)",0.25438273151869994,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.25438273151869994}",1,0.9256360546616242,-0.01751436262406414,0.02198028564453125,0.0,0.4715752086428442
False,15,0.07814204692840576,0.007803559303283691,0.47344931555464853,64,"(4, 1, 1)",0.1,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1, 1), 'learning_rate_init': 0.1}",1,0.9513907781381945,-0.004492147028897442,0.01563584804534912,0.007803559303283691,0.47794146258354603
False,16,0.1089022159576416,0.0020017623901367188,-0.0001655192179288445,24,"(4, 1)",0.1,"{'batch_size': 24, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,-0.00032930510573181415,-1.7333301258748433e-06,0.025536537170410156,0.0020017623901367188,0.00016378588780296965
False,17,0.08595585823059082,0.0,0.9346907305130593,64,"(4, 1)",0.16560057774930068,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.16560057774930068}",1,0.9234445232975466,0.945936937728572,0.007803678512573242,0.0,0.011246207215512727
False,18,0.027389049530029297,0.007813811302185059,-0.0011703600346700815,64,"(4, 1)",0.7601149481420661,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.7601149481420661}",1,-3.2656596644642377e-06,-0.002337454409675699,0.003863096237182617,0.007813811302185059,0.0011670943750056173
False,19,0.26351845264434814,0.0,0.4817408942723219,19,"(4, 1)",0.1,"{'batch_size': 19, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,-0.0011679859291207073,0.9646497744737645,0.12714111804962158,0.0,0.4829088802014426
False,20,0.12184369564056396,0.0,0.47131710640021146,37,"(4, 1)",0.1,"{'batch_size': 37, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,-0.0016450960040677032,0.9442793088044905,0.07495725154876709,0.0,0.4729622024042791
False,21,0.0859382152557373,0.0,0.4574709981242432,64,"(4, 1)",0.271726636392382,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.271726636392382}",1,0.9150315569266548,-8.956067816834334e-05,0.023432254791259766,0.0,0.4575605588024116
False,22,0.06562817096710205,0.0,-0.0001922294232075128,64,"(4, 1, 1)",0.1,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1, 1), 'learning_rate_init': 0.1}",1,-1.5691518246985225e-05,-0.00036876732816804036,0.0031288862228393555,0.0,0.00017653790496052757
False,23,0.08312821388244629,0.0,0.9300624968012126,90,"(4, 1)",0.1,"{'batch_size': 90, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,0.9044092545847505,0.9557157390176744,0.010624408721923828,0.0,0.025653242216461924
False,24,0.039058804512023926,0.0,0.4718637864539133,243,"(4, 1)",0.1,"{'batch_size': 243, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,-1.6829649477578812e-05,0.9437444025573042,0.02344834804534912,0.0,0.4718806161033909
False,25,0.059566617012023926,0.0,0.37334064757661506,64,"(1, 1)",0.1,"{'batch_size': 64, 'hidden_layer_sizes': (1, 1), 'learning_rate_init': 0.1}",1,0.7467575964331846,-7.630127995450486e-05,0.018549799919128418,0.0,0.37341694885656956
False,26,0.0859452486038208,0.0,0.9480587470338272,121,"(4, 1)",0.1,"{'batch_size': 121, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,0.9523397769410522,0.9437777171266024,0.007811903953552246,0.0,0.004281029907224898
False,27,0.08051073551177979,0.0,0.9326372735140965,64,"(6, 1)",0.1,"{'batch_size': 64, 'hidden_layer_sizes': (6, 1), 'learning_rate_init': 0.1}",1,0.9097657332464019,0.9555088137817911,0.0132676362991333,0.0,0.022871540267694612
False,28,0.04479336738586426,0.007804989814758301,0.44350526085734965,64,"(4, 1)",0.2065019351686059,"{'batch_size': 64, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.2065019351686059}",1,0.8870664888200219,-5.596710532262961e-05,0.0020987987518310547,0.007804989814758301,0.4435612279626723
False,29,0.1221398115158081,0.0,0.2471806115649794,30,"(4, 1)",0.1,"{'batch_size': 30, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,-0.005645544682448378,0.5000067678124072,0.028388381004333496,0.0,0.25282615624742777
False,30,0.2410597801208496,0.0,0.37832381599418313,12,"(4, 1)",0.1,"{'batch_size': 12, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,-0.00039031020599855637,0.7570379421943648,0.053556203842163086,0.0,0.3787141262001817
False,31,0.10585618019104004,0.0,0.9589531812420548,56,"(4, 1)",0.1,"{'batch_size': 56, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,0.9696736827709699,0.9482326797131398,0.0035483837127685547,0.0,0.010720501528915016
False,32,0.09375309944152832,0.0,0.4876174958756742,110,"(4, 1)",0.1,"{'batch_size': 110, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,-0.0002042758592002425,0.9754392676105487,0.04688692092895508,0.0,0.48782177173487445
False,33,0.18954229354858398,0.0,0.8382680320333422,21,"(4, 1)",0.1,"{'batch_size': 21, 'hidden_layer_sizes': (4, 1), 'learning_rate_init': 0.1}",1,0.7752596925432036,0.9012763715234808,0.03772306442260742,0.0,0.06300833949013862
